status	exit	cia_model	path	prg	timeout	notes	x64sc
PASS	0	default	CIA/reload0	reload0b.prg	20000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	default	CIA/shiftregister	cia-icr-test2-continues.prg	10000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	default	CIA/shiftregister	cia-icr-test2-oneshot.prg	10000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	1	CIA/shiftregister	cia-icr-test-continues-new.prg	10000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	CIA/shiftregister	cia-icr-test-continues-old.prg	10000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	1	CIA/shiftregister	cia-icr-test-oneshot-new.prg	10000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	CIA/shiftregister	cia-icr-test-oneshot-old.prg	10000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	default	CIA/shiftregister	cia-sdr-load.prg	7000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	default	CIA/shiftregister	cia-sdr-init.prg	7000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	default	CIA/shiftregister	cia-sdr-delay.prg	7000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	1	CIA/timerbasics	test_new.prg	100000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	CIA/timerbasics	test.prg	100000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	1	CIA/timerbasics	timer_new.prg	100000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	CIA/timerbasics	timer.prg	100000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	1	CIA/timerbasics	timer_test1_new.prg	100000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	CIA/timerbasics	timer_test1.prg	100000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
